Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Take Black & White Photos With a Digital Camera	Steps	 (...) 2. Light at an angle. (...) Instead, try to have the light hit your subject at an angle. 	This highlights one side and throws shadows on the other ______.	3. Adjust exposure manually.	end	4.5	horizon	4.5	field	3	direction	3	side	3
How to Deal With Overprotective Parents	Intro	 Many people feel their parents are overprotective. 	If your parents check in on you constantly and bombard you with questions about your personal ______, you should take some steps to lessen the ties.	Try communicating your frustrations, setting firm boundaries, and taking steps to reduce your parents' anxiety.	feelings	4.5	interests	3	behaviour	3.5	welfare	4	life	5
How to Wear a Bib Necklace	Choosing Your Bib Necklace	 1. Purchase a metallic bib necklace. If you want a bib necklace that you can wear with lots of different colors and outfits, a metallic one is a great choice. 	Look for a bib necklace in gold, silver, copper, or any other metallic ______ you like.	Metallic jewelry can complement virtually any color, pattern, or look, so you’ll get your money’s worth with a metallic bib necklace.	outfit	3	ruby	1	elements	3	finish	5	fabric	2.5
How to Overcome Laziness	Warnings	 * If you think you are lazy but nobody else thinks you are, DO NOT WORK HARDER. (...) * If the suggestions above don’t increase your activity level or elevate your low mood, feeling of being overwhelmed, or prolonged very low self esteem, then you may have a more serious case of depression. *	Everyone will become sad at some point, usually because of a depressing situation (like a death, a job loss, etc.) and most ______ come out of it within a few days.	But if the sadness deepens, lasts two weeks or more, or it starts interfering with your work/school, or it occurs frequently, then you should seek professional advice to determine that you have no underlying medical condition and to receive appropriate treatment and advice.	families	2	people	5	adults	4	men	2	characters	1.5
How to Use a Lever Action Rifle	Warnings	 * Bullets contain lead, an extremely toxic heavy metal. (...) Look into using a gun that fires non-lead bullets. *	Do not put pointed bullets in a tubular magazine, the point could ignite the ______ of the bullet in front of it.		projectile	3.5	essence	1.5	primer	4	bulk	3.5	points	2
How to Prepare for a Skywarn Basic Class	Steps	 	Look for a Skywarn Basic Class on your local weather service's ______ page and newspapers.	2. Check out the date and time of the classes.	web	3	family	2	facebook	3.5	information	4.5	page	3
How to Earn Money at Home (Kids and Teens)	Steps	 1. Draw up a list of chores needing done in your house, the more the better! (...) 2. Ask your parents if instead of a weekly/monthly allowance, you could earn money proportionate to how much you work; e.g. lots of work=lots of money. 3.	Show them the list of chores you made and agree on prices for each ______.	4. Bear in mind, if you don't do any work, you will not get any money.	activity	4	bundle	1.5	schedule	1.5	outfit	3.5	chore	5
How to Be Wise	Steps	 1.	Ask yourself this question or any other ______.	2. There is no reason to believe that you're asking the right questions or that your answers are correct.	explanation	1.5	shit	3.5	meaning	2	suggestion	2	question	2.5
How to Make a Diwali Paper Lantern	Steps	 (...) 8. Put string or wire through the holes. (...) 9. Add a light source. 	You won't want to use candles, like you might with some traditional lanterns, because these ______ are made of paper.	However, if you have holiday lights or another electronic source that doesn't produce too much heat, you can attach the lantern around the lights for a more glowing decorative effect.	structures	4	lanterns	5	matches	2	lamps	4	rags	3.5
How to Appear Intelligent	Steps	 (...) 10. Don't make things up. (...) Relay the information with a certain mysticism, that indicates your better than it but that also that you have conveyed serious thought into the discourse. 11.	Avoid swearing and ______ of other types of 'vulgar' language.	The primary reason to swear is to use 'shock' tactics, by using language that society has deemed inappropriate it is supposed to show how meaningful what you have proclaimed was.	examples	2.5	pronunciation	2.5	use	4.5	discussion	4	accusations	3
How to Find Lost Objects	Searching Locations	 (...) 2. Recall where you have been. (...) Chances are, it could have fallen off. 3.	Don't skip the obvious ______.	Look for the missing object where it's supposed to be, or where it can usually be found.	edges	0.5	zones	4	areas	4	duurbrain	1	details	4
How to Make Great Pictures With Fx Photo Studio 4.0	Steps	 1. Home Screen. Here are the ways you can start using the FX Photo Studio (...) 	Other icons on the home screen let you: Recommend the app to your friends, rate it on the App Store, Tweet it or like on Facebook (Heart Icon), check out other photo apps by the same ______	3. Main Menu and Editing tools.	developer	5	project	4	profile	3	screen	3	result	1
How to Do Princess Leia Hair	For Shorter Hair.	 (...) 4. Take a pigtail and poke the hair through the center of the sock ring. (...) It will be easier to do one sock bun at a time. 	Spread the ends of your hair around the ______ of the sock bun.	Pull the sock bun all the way down to the end of your hair.	circle	3	top	4.5	arms	2.5	poles	1	fabric	3.5
